Day,Ad name,Amount spent (USD),Results,Impressions,Link clicks,3-second video plays,Purchases conversion value,Video average play time,Video plays at 75%,Video plays,Preview link,Reporting starts,Reporting ends,Account Name,Creative Type,Hook,Creative Name
2025-08-15,Ad - AEF FB Video 81 V001,317.34,10.0,8890,128.0,2226.0,244.5,3.0,263.0,6779.0,https://www.facebook.com/?feed_demo_ad=120226021274390595&h=AQCgzgjQMmyF6C-ipLw,2025-08-15,2025-08-15,AEF,Video,001,Video 81
2025-08-15,Ad - AEF FB Video 79 V1 - WE,314.22,19.0,7435,83.0,1272.0,1210.82,3.0,111.0,6276.0,https://www.facebook.com/?feed_demo_ad=120223039703410595&h=AQCJ8b4xf8hf5XnCTo4,2025-08-15,2025-08-15,AEF,Video,1,Video 79
2025-08-13,Ad - AEF FB Video 63 V1 - WE,311.19,13.0,6274,107.0,1539.0,500.21,4.0,98.0,5308.0,https://www.facebook.com/?feed_demo_ad=120217134246890595&h=AQA55CfIOxz6UWYzk1c,2025-08-13,2025-08-13,AEF,Video,1,Video 63
2025-08-13,Ad - AEF FB Video 86 V00,304.45,14.0,13619,129.0,2584.0,369.11,3.0,515.0,13407.0,https://www.facebook.com/?feed_demo_ad=120232135856350595&h=AQBUnEKcT3ZYZNhryw0,2025-08-13,2025-08-13,AEF,Video,00,Video 86
2025-08-18,Ad - AEF FB Video 85 V4 - LP,300.45,2.0,13484,100.0,3504.0,10.46,3.0,191.0,11971.0,https://www.facebook.com/?feed_demo_ad=120230994117420595&h=AQCazFTTPVkyehHdI3A,2025-08-18,2025-08-18,AEF,Video,4,Video 85
2025-08-14,Ad - AEF FB Video 73 V2,299.09,16.0,16538,156.0,4190.0,445.32,4.0,696.0,16393.0,https://www.facebook.com/?feed_demo_ad=120219003120760595&h=AQBATRMiIzGPqrTlMD0,2025-08-14,2025-08-14,AEF,Video,2,Video 73
2025-08-18,Ad - AEF FB Video 73 V2,294.52,11.0,16291,149.0,4088.0,366.38,4.0,625.0,16122.0,https://www.facebook.com/?feed_demo_ad=120219003120760595&h=AQBATRMiIzGPqrTlMD0,2025-08-18,2025-08-18,AEF,Video,2,Video 73
2025-08-14,Ad - AEF FB Video 73 V4 - LP,293.65,14.0,13393,140.0,3506.0,271.44,4.0,639.0,13228.0,https://www.facebook.com/?feed_demo_ad=120219003044700595&h=AQD15g7LT4yp_hJut7I,2025-08-14,2025-08-14,AEF,Video,4,Video 73
2025-08-14,Ad - AEF FB Image 35 V15 - WE,292.33,7.0,9513,111.0,,451.67,,,,https://www.facebook.com/?feed_demo_ad=120222691732960595&h=AQA3JjkMqSTg66tbBYk,2025-08-14,2025-08-14,AEF,Image,15,Image 35
2025-08-18,Ad - AEF FB Video 77 V1,291.66,12.0,11644,149.0,2907.0,295.32,4.0,474.0,11425.0,https://www.facebook.com/?feed_demo_ad=120221877749140595&h=AQAu79NS-cnSHc4Vu2Y,2025-08-18,2025-08-18,AEF,Video,1,Video 77
2025-08-12,Ad - AEF FB Video 86 V1,290.53,14.0,10822,138.0,2201.0,302.23,3.0,451.0,10211.0,https://www.facebook.com/?feed_demo_ad=120232135856280595&h=AQA8kdaF1-Yjet7It_U,2025-08-12,2025-08-12,AEF,Video,1,Video 86
2025-08-18,Ad - AEF FB Video 81 V001,288.87,10.0,9331,100.0,2762.0,461.23,4.0,328.0,7975.0,https://www.facebook.com/?feed_demo_ad=120226021274390595&h=AQCgzgjQMmyF6C-ipLw,2025-08-18,2025-08-18,AEF,Video,001,Video 81
2025-08-15,Ad - AEF FB Image 62 - V21 - LP,286.1,11.0,11736,110.0,,315.66,,,,https://www.facebook.com/?feed_demo_ad=120230578950330595&h=AQDnkWCBdWQ447imtWg,2025-08-15,2025-08-15,AEF,Image,21,Image 62
2025-08-18,Ad - AEF FB Video 77 V5,282.09,10.0,10848,156.0,2783.0,203.31,4.0,443.0,10567.0,https://www.facebook.com/?feed_demo_ad=120221877843150595&h=AQDuUKvFswVD-IgGSBE,2025-08-18,2025-08-18,AEF,Video,5,Video 77
2025-08-12,Ad - AEF FB Video 81 V001,280.84,16.0,9557,132.0,2250.0,290.16,4.0,270.0,7518.0,https://www.facebook.com/?feed_demo_ad=120226021274390595&h=AQCgzgjQMmyF6C-ipLw,2025-08-12,2025-08-12,AEF,Video,001,Video 81
2025-08-16,Ad - AEF FB Video 60 V3 - WE,280.52,89.0,48056,332.0,3357.0,699.66,3.0,231.0,10402.0,https://www.facebook.com/?feed_demo_ad=120231340323070595&h=AQDdRh7qlKpkL21nxbE,2025-08-16,2025-08-16,AEF,Video,3,Video 60
2025-08-15,Ad - AEF FB Image 35 V15 - WE,277.66,17.0,8431,140.0,,440.89,,,,https://www.facebook.com/?feed_demo_ad=120222691732960595&h=AQA3JjkMqSTg66tbBYk,2025-08-15,2025-08-15,AEF,Image,15,Image 35
2025-08-15,Ad - AEF FB Video 83 V6 - WE,277.14,9.0,7883,96.0,1334.0,275.6,3.0,190.0,7337.0,https://www.facebook.com/?feed_demo_ad=120229565622140595&h=AQDq-v-o1gosGEuGnfw,2025-08-15,2025-08-15,AEF,Video,6,Video 83
2025-08-16,Ad - AEF FB Video 69 V4 - WE,276.12,53.0,29995,260.0,3530.0,933.21,3.0,127.0,15868.0,https://www.facebook.com/?feed_demo_ad=120231340323130595&h=AQDjV4RE1ZrkmdtE6dw,2025-08-16,2025-08-16,AEF,Video,4,Video 69
2025-08-14,Ad - AEF FB Video 86 V1,275.7,18.0,10821,121.0,2101.0,462.97,3.0,398.0,10279.0,https://www.facebook.com/?feed_demo_ad=120232135856280595&h=AQA8kdaF1-Yjet7It_U,2025-08-14,2025-08-14,AEF,Video,1,Video 86
2025-08-14,Ad - AEF FB Image 72 - V21,274.95,16.0,10214,139.0,,250.77,,,,https://www.facebook.com/?feed_demo_ad=120232562389280595&h=AQAxJqufdNOiUlsocts,2025-08-14,2025-08-14,AEF,Image,21,Image 72
2025-08-13,Ad - AEF FB Image 34 V14,273.65,12.0,7486,78.0,,300.19,,,,https://www.facebook.com/?feed_demo_ad=120220381548690595&h=AQA-NX-ErAREkI6rraI,2025-08-13,2025-08-13,AEF,Image,14,Image 34
2025-08-12,Ad - AEF FB RM Image 3 - V21 - WE,270.31,17.0,12544,173.0,,877.16,,,,https://www.facebook.com/?feed_demo_ad=120224469891540595&h=AQAFY4h_Kd34-IN5lQY,2025-08-12,2025-08-12,AEF,Image,21,Image 3
2025-08-12,Ad - AEF FB Video 79 V1 - WE,269.02,16.0,5993,89.0,1114.0,453.64,3.0,112.0,5054.0,https://www.facebook.com/?feed_demo_ad=120223039703410595&h=AQCJ8b4xf8hf5XnCTo4,2025-08-12,2025-08-12,AEF,Video,1,Video 79
2025-08-18,Ad - AEF FB Video 86 V2,268.09,14.0,13231,101.0,3335.0,541.75,3.0,336.0,11926.0,https://www.facebook.com/?feed_demo_ad=120232135856360595&h=AQAZKCtMrrIvRlqSBUc,2025-08-18,2025-08-18,AEF,Video,2,Video 86
2025-08-17,Ad - AEF FB Video 79 V1 - WE,265.55,20.0,6970,80.0,1253.0,444.19,3.0,126.0,6006.0,https://www.facebook.com/?feed_demo_ad=120223039703410595&h=AQCJ8b4xf8hf5XnCTo4,2025-08-17,2025-08-17,AEF,Video,1,Video 79
2025-08-14,Ad - AEF FB Video 70 V2,262.57,9.0,7217,101.0,2253.0,119.99,4.0,224.0,6585.0,https://www.facebook.com/?feed_demo_ad=120218378276030595&h=AQB42OOR9PxrBP57wjw,2025-08-14,2025-08-14,AEF,Video,2,Video 70
2025-08-18,Ad - AEF FB Video 78 V2,262.5,17.0,100668,697.0,29365.0,481.68,3.0,751.0,84494.0,https://www.facebook.com/?feed_demo_ad=120222143339200595&h=AQCjGXMc_rFBxWVNl6I,2025-08-18,2025-08-18,AEF,Video,2,Video 78
2025-08-16,Ad - AEF FB Image 35 V15 - WE,262.49,76.0,49403,277.0,,787.75,,,,https://www.facebook.com/?feed_demo_ad=120231340323140595&h=AQC9qLGXyhWpiw8DMHM,2025-08-16,2025-08-16,AEF,Image,15,Image 35
2025-08-14,Ad - AEF FB Image 72 - V21,261.8,10.0,10281,153.0,,289.94,,,,https://www.facebook.com/?feed_demo_ad=120232562190930595&h=AQAbnBvmgkTCoOi0z_0,2025-08-14,2025-08-14,AEF,Image,21,Image 72
2025-08-13,Ad - AEF FB Video 79 V1 - WE,260.28,11.0,6323,79.0,1154.0,188.05,3.0,112.0,5299.0,https://www.facebook.com/?feed_demo_ad=120223039703410595&h=AQCJ8b4xf8hf5XnCTo4,2025-08-13,2025-08-13,AEF,Video,1,Video 79
2025-08-18,Ad - AEF FB Video 79 V1 - WE,260.16,12.0,5733,72.0,1119.0,551.99,3.0,89.0,4953.0,https://www.facebook.com/?feed_demo_ad=120223039703410595&h=AQCJ8b4xf8hf5XnCTo4,2025-08-18,2025-08-18,AEF,Video,1,Video 79
2025-08-12,Ad - AEF FB Video 77 V5,259.58,13.0,9840,153.0,2598.0,508.47,4.0,427.0,9633.0,https://www.facebook.com/?feed_demo_ad=120221877998020595&h=AQD3qAKPdgzX0cWd-BU,2025-08-12,2025-08-12,AEF,Video,5,Video 77
2025-08-18,Ad - AEF FB Image 34 V14,258.08,10.0,6474,94.0,,317.51,,,,https://www.facebook.com/?feed_demo_ad=120220381548690595&h=AQA-NX-ErAREkI6rraI,2025-08-18,2025-08-18,AEF,Image,14,Image 34
2025-08-12,Ad - AEF FB Video 77 V1,257.33,13.0,9349,172.0,2369.0,311.9,5.0,458.0,9095.0,https://www.facebook.com/?feed_demo_ad=120221877749140595&h=AQAu79NS-cnSHc4Vu2Y,2025-08-12,2025-08-12,AEF,Video,1,Video 77
2025-08-17,Ad - AEF FB Video 54 V3 - RE 3 - WE,257.12,13.0,12376,176.0,2017.0,336.11,3.0,615.0,12139.0,https://www.facebook.com/?feed_demo_ad=120214628615910595&h=AQBE-dTqU01IJ8XR16k,2025-08-17,2025-08-17,AEF,Video,3,Video 54
2025-08-14,Ad - AEF FB Image 34 V14,256.79,9.0,6848,72.0,,401.05,,,,https://www.facebook.com/?feed_demo_ad=120220381548690595&h=AQA-NX-ErAREkI6rraI,2025-08-14,2025-08-14,AEF,Image,14,Image 34
2025-08-14,Ad - AEF FB Image 78 - V23,254.64,8.0,11260,140.0,,237.34,,,,https://www.facebook.com/?feed_demo_ad=120233942123650595&h=AQDjm98ZvUGi3DgzMiU,2025-08-14,2025-08-14,AEF,Image,23,Image 78
2025-08-16,Ad - AEF FB Video 77 V00 - WE,254.24,19.0,8889,148.0,2320.0,538.06,4.0,397.0,8591.0,https://www.facebook.com/?feed_demo_ad=120221877863120595&h=AQDl86fbESMEFA7lYwg,2025-08-16,2025-08-16,AEF,Video,00,Video 77
2025-08-12,Ad - AEF FB Video 54 V3 - RE 3 - WE,249.23,24.0,14922,233.0,2287.0,488.12,3.0,654.0,14721.0,https://www.facebook.com/?feed_demo_ad=120214628615910595&h=AQBE-dTqU01IJ8XR16k,2025-08-12,2025-08-12,AEF,Video,3,Video 54
2025-08-15,Ad - AEF FB Video 64 V002,248.36,11.0,5793,83.0,1312.0,525.91,3.0,64.0,4973.0,https://www.facebook.com/?feed_demo_ad=120217316621900595&h=AQCguvpi8bkTO3v2-RU,2025-08-15,2025-08-15,AEF,Video,002,Video 64
2025-08-14,Ad - AEF FB Image 54 - V21,247.98,11.0,11092,98.0,,205.45,,,,https://www.facebook.com/?feed_demo_ad=120228398792540595&h=AQDamAp9_5T2B8FvFP8,2025-08-14,2025-08-14,AEF,Image,21,Image 54
2025-08-12,Ad - AEF FB Video 73 V4 - LP,247.57,15.0,10833,135.0,2763.0,313.0,4.0,478.0,10382.0,https://www.facebook.com/?feed_demo_ad=120219003044700595&h=AQD15g7LT4yp_hJut7I,2025-08-12,2025-08-12,AEF,Video,4,Video 73
2025-08-12,Ad - AEF FB Video 77 V5,247.33,13.0,8604,164.0,2346.0,260.24,5.0,398.0,8455.0,https://www.facebook.com/?feed_demo_ad=120221877843150595&h=AQDuUKvFswVD-IgGSBE,2025-08-12,2025-08-12,AEF,Video,5,Video 77
2025-08-14,Ad - AEF FB Video 75 V4,245.98,7.0,10456,83.0,1943.0,149.41,3.0,215.0,8778.0,https://www.facebook.com/?feed_demo_ad=120220006676880595&h=AQCJkEalfuxkgkYlQZo,2025-08-14,2025-08-14,AEF,Video,4,Video 75
2025-08-12,Ad - AEF FB Video 33 - V1 - RE 5,244.61,5.0,9272,126.0,3550.0,221.59,5.0,247.0,8756.0,https://www.facebook.com/?feed_demo_ad=120213544101800595&h=AQAk8xU3uA7sFjoHH_w,2025-08-12,2025-08-12,AEF,Video,1,Video 33
2025-08-12,Ad - AEF FB Image 54 - V21,244.41,12.0,12913,109.0,,201.72,,,,https://www.facebook.com/?feed_demo_ad=120228398792540595&h=AQDamAp9_5T2B8FvFP8,2025-08-12,2025-08-12,AEF,Image,21,Image 54
2025-08-14,Ad - AEF FB Video 86 V2,243.74,7.0,11217,94.0,2197.0,164.06,3.0,408.0,10792.0,https://www.facebook.com/?feed_demo_ad=120232132086800595&h=AQDnZkNQqKJGV4CWry4,2025-08-14,2025-08-14,AEF,Video,2,Video 86
2025-08-18,Ad - AEF FB Image 62 - V21 - LP,243.69,10.0,9804,91.0,,261.0,,,,https://www.facebook.com/?feed_demo_ad=120230578950330595&h=AQDnkWCBdWQ447imtWg,2025-08-18,2025-08-18,AEF,Image,21,Image 62
2025-08-12,Ad - AEF FB Image 35 V15 - WE,243.3,11.0,8207,98.0,,283.39,,,,https://www.facebook.com/?feed_demo_ad=120222691732960595&h=AQA3JjkMqSTg66tbBYk,2025-08-12,2025-08-12,AEF,Image,15,Image 35
2025-08-18,Ad - AEF FB Video 46 V3 - RE 5 - WE,242.12,14.0,8807,88.0,1936.0,517.86,3.0,217.0,7571.0,https://www.facebook.com/?feed_demo_ad=120213026503340595&h=AQBqLkA_DNp_yNcyBSI,2025-08-18,2025-08-18,AEF,Video,3,Video 46
2025-08-15,Ad - AEF FB Image 72 - V21,240.98,12.0,9422,123.0,,344.05,,,,https://www.facebook.com/?feed_demo_ad=120232562190930595&h=AQAbnBvmgkTCoOi0z_0,2025-08-15,2025-08-15,AEF,Image,21,Image 72
2025-08-15,Ad - AEF FB Video 81 V6 - LP,240.25,7.0,8243,83.0,2880.0,148.14,4.0,409.0,8093.0,https://www.facebook.com/?feed_demo_ad=120226021848130595&h=AQBDlwmMiQ-tTp4PqoQ,2025-08-15,2025-08-15,AEF,Video,6,Video 81
