Day,"Ad name","Amount spent (USD)","Result type",Results,Impressions,"Link clicks","3-second video plays","Purchases conversion value","Video average play time","Video plays at 75%","Video plays","Preview link","Reporting starts","Reporting ends"
2025-08-14,"Ad - AEF FB Video 86 V2",243.74,"Website purchases",7,11217,94,2197,164.06,3,408,10792,https://www.facebook.com/?feed_demo_ad=120232132086800595&h=AQDnZkNQqKJGV4CWry4,2025-08-14,2025-08-14
2025-08-18,"Ad - AEF FB Image 62 - V21 - LP",243.69,"Website purchases",10,9804,91,,261,,,,https://www.facebook.com/?feed_demo_ad=120230578950330595&h=AQDnkWCBdWQ447imtWg,2025-08-18,2025-08-18
2025-08-12,"Ad - AEF FB Image 35 V15 - WE",243.3,"Website purchases",11,8207,98,,283.39,,,,https://www.facebook.com/?feed_demo_ad=120222691732960595&h=AQA3JjkMqSTg66tbBYk,2025-08-12,2025-08-12
2025-08-18,"Ad - AEF FB Video 46 V3 - RE 5 - WE",242.12,"Website purchases",14,8807,88,1936,517.86,3,217,7571,https://www.facebook.com/?feed_demo_ad=120213026503340595&h=AQBqLkA_DNp_yNcyBSI,2025-08-18,2025-08-18
2025-08-15,"Ad - AEF FB Image 72 - V21",240.98,"Website purchases",12,9422,123,,344.05,,,,https://www.facebook.com/?feed_demo_ad=120232562190930595&h=AQAbnBvmgkTCoOi0z_0,2025-08-15,2025-08-15
2025-08-15,"Ad - AEF FB Video 81 V6 - LP",240.25,"Website purchases",7,8243,83,2880,148.14,4,409,8093,https://www.facebook.com/?feed_demo_ad=120226021848130595&h=AQBDlwmMiQ-tTp4PqoQ,2025-08-15,2025-08-15
2025-08-15,"Ad - AEF FB Video 78 V1",239.25,"Website purchases",5,6573,58,930,180.8,2,36,4796,https://www.facebook.com/?feed_demo_ad=120222143318900595&h=AQA7lT5UxBAI7PcESbk,2025-08-15,2025-08-15
2025-08-13,"Ad - AEF FB Video 88 V1",237.7,"Website purchases",10,11881,94,1772,484.62,3,370,11602,https://www.facebook.com/?feed_demo_ad=120233552445470595&h=AQDDHLztgKx_-GztFCc,2025-08-13,2025-08-13
2025-08-15,"Ad - AEF FB Video 75 V4",235.81,"Website purchases",9,10236,66,1749,454.83,2,166,8334,https://www.facebook.com/?feed_demo_ad=120220006676880595&h=AQCJkEalfuxkgkYlQZo,2025-08-15,2025-08-15
2025-08-15,"Ad - AEF FB Video 81 V1 - LP",235.71,"Website purchases",7,6517,71,1662,182.98,4,236,5227,https://www.facebook.com/?feed_demo_ad=120226020179190595&h=AQB_jeL1vEeTXxqzSoU,2025-08-15,2025-08-15
